design_id,wall_material,wall_structural_thickness_m,wall_insulation_thickness_m,roof_insulation_thickness_m,floor_insulation_thickness_m,length_m,width_m,height_m,orientation_deg,window_area_m2,window_wall_orientation,door_area_m2,door_wall_orientation,window_solar_heat_gain_coefficient,window_u_value_w_m2k,door_u_value_w_m2k,has_thermal_mass,thermal_mass_material,thermal_mass_kg,thermal_mass_specific_heat_j_kgk,thermal_mass_heat_capacity_j_k,occupant_count,sensible_heat_per_person_w,equipment_heat_w,lighting_heat_w,floor_area_m2,volume_m3,net_wall_area_m2,weather_scenario_id,weather_name,weather_season,weather_date,weather_effective_date,latitude,longitude,weather_source,weather_data_category,weather_provenance,weather_retrieval_status,weather_record_count,skipped_missing_required_records,mean_outdoor_temperature_c,minimum_outdoor_temperature_c,maximum_outdoor_temperature_c,daily_solar_sum_wh_m2,mean_wind_speed_m_s,mean_relative_humidity_percent,percent_time_comfortable,percent_time_below_comfort,percent_time_above_comfort,minimum_indoor_temperature_c,maximum_indoor_temperature_c,mean_indoor_temperature_c,indoor_temperature_range_c,degree_hours_below_comfort,degree_hours_above_comfort,total_heat_loss_kwh,total_solar_gain_kwh,thermal_mass_absorbed_kwh,thermal_mass_released_kwh,thermal_mass_net_kwh
D0000,brick_masonry,0.35,0.0,0.0,0.0,4.39,4.0,3.0,0.0,2.49,east,2.0,west,0.615,5.0,2.0,1,stone,2943.0,900.0,2648700.0,2,75.0,50.0,20.0,17.56,52.67999999999999,45.849999999999994,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-13.846194063655242,2.3136265777879395,-7.036325648005884,16.159820641443183,600.8718155521412,0.0,28.630092751446288,4.9840082775,4.618464785758118,22.16330206809246,-17.544837282334342
D0001,brick_masonry,0.35,0.0,0.0,0.1552,5.581,4.0,3.0,270.0,1.013,south,2.0,west,0.542,5.0,2.0,1,stone,656.4,900.0,590760.0,2,75.0,50.0,20.0,22.324,66.97200000000001,54.473000000000006,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-15.616961729284316,-1.7210681068090972,-9.374620079573367,13.895893622475219,656.9908819097608,0.0,10.247673950310865,1.7869525639000001,2.2860949279014315,6.378957916772267,-4.092862988870835
D0002,brick_masonry,0.35,0.0,0.0,0.157,5.547,4.0,3.0,90.0,3.529,south,2.0,south,0.72,5.0,2.0,1,water,592.4,4186.0,2479786.4,2,75.0,50.0,20.0,22.188,66.564,51.753,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-13.414227196619285,3.0579177733392795,-5.7028845359115365,16.472144969958563,568.869228861877,0.0,30.19760167856265,8.269675092,4.912960684036946,21.04137239756101,-16.128411713524063
D0003,brick_masonry,0.35,0.0,0.0,0.1923,5.513,4.0,3.0,180.0,2.151,north,2.0,east,0.574,5.0,2.0,0,none,0.0,0.0,0.0,2,75.0,50.0,20.0,22.052,66.156,52.92700000000001,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-16.69766812090894,0.23695820607341925,-9.250115366730371,16.93462632698236,654.0027688015289,0.0,9.298534129554334,4.0184317341,0.0,0.0,0.0
D0004,brick_masonry,0.35,0.0,0.0611,0.0,5.655,4.0,3.0,0.0,2.531,north,2.0,west,0.652,5.0,2.0,0,none,0.0,0.0,0.0,2,75.0,50.0,20.0,22.62,67.86,53.399,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-16.77316038313939,0.9988773319250442,-9.094431880222404,17.772037715064435,650.2663651253376,0.0,10.65093691136955,5.3708624858,0.0,0.0,0.0
D0005,brick_masonry,0.35,0.0,0.0674,0.1998,4.385,4.0,3.0,270.0,1.039,north,2.0,east,0.648,5.0,2.0,1,stone,2493.8,900.0,2244420.0,2,75.0,50.0,20.0,17.54,52.62,47.271,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-9.958781257133957,6.492173630594205,-2.891758760636772,16.450954887728162,501.4022102552826,0.0,20.264643912810293,2.1912647147999995,0.7056622645153544,13.14896443927552,-12.443302174760166
D0006,brick_masonry,0.35,0.0,0.1277,0.0736,4.024,4.0,3.0,270.0,1.368,south,2.0,west,0.719,5.0,2.0,1,water,883.9,4186.0,3700005.4,2,75.0,50.0,20.0,16.096,48.288,44.775999999999996,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-6.778689453781867,7.901093033341638,0.1578266130785487,14.679782487123505,428.2121612861148,0.0,25.99610681711362,3.2012477028000004,0.22059111686122207,17.465380445726765,-17.244789328865544
D0007,brick_masonry,0.35,0.0,0.1291,0.1519,4.181,4.0,3.0,180.0,2.573,north,2.0,north,0.694,5.0,2.0,1,water,1843.8,4186.0,7718146.8,2,75.0,50.0,20.0,16.724,50.172,44.513,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-1.1557281511904698,8.953595234542806,4.251541205141973,10.109323385733276,329.9630110765927,0.0,35.19536976250624,5.811704828299998,0.360651874875147,24.27774841148088,-23.917096536605733
D0008,brick_masonry,0.35,0.0,0.1401,0.0644,4.377,4.0,3.0,270.0,0.768,west,2.0,south,0.795,5.0,2.0,1,stone,2955.6,900.0,2660040.0,2,75.0,50.0,20.0,17.508,52.524,47.494,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-9.20770213639514,7.010879127760192,-2.207608689788422,16.218581264155333,484.982608554922,0.0,21.796018661586373,1.987159104,0.33031177412395796,14.522882882706329,-14.19257110858237
D0009,brick_masonry,0.35,0.0,0.1447,0.1032,5.941,4.0,3.0,180.0,3.626,south,2.0,west,0.478,5.0,2.0,1,water,1068.1,4186.0,4471066.6,2,75.0,50.0,20.0,23.764,71.292,54.02,S01_winter,winter,winter,2024-01-15,2024-01-15,34.1645,77.5789,NASA POWER hourly point API,nasa_power_satellite_reanalysis,NASA POWER data are satellite/reanalysis-derived estimates and are not ground measurements.,disk_cache_from_live_nasa_power,24,0,-11.3675,-17.9,-4.05,3254.6499999999996,3.1495833333333336,46.97083333333334,0.0,100.0,0.0,-7.548398902841077,7.6891835629513245,-0.15412086660721216,15.237582465792402,435.69890079857305,0.0,33.13253183338528,5.6410505101999995,0.8629065803593847,22.65736775201755,-21.794461171658163
