target,model,split,mae,rmse,r2,explained_variance,mape_percent,baseline_mae,beats_baseline_mae
degree_hours_above_comfort,gradient_boosting,test,13.600126616594778,28.95955214001274,0.48557322761744315,0.4876664349005845,,23.033762704832018,True
degree_hours_above_comfort,gradient_boosting,validation,13.852052237893593,29.484447544743887,0.5486767453615033,0.548676783183254,,,
degree_hours_above_comfort,linear_regression,test,22.60752538162283,34.87554989164992,0.2539258237624302,0.26533020040994204,,23.033762704832018,True
degree_hours_above_comfort,linear_regression,validation,24.7729812928094,37.83623818392082,0.25677959723696986,0.2573252816602789,,,
degree_hours_above_comfort,random_forest,test,9.679094746773528,25.028113468258443,0.6157657180728422,0.6165400256162783,,23.033762704832018,True
degree_hours_above_comfort,random_forest,validation,8.448538648114605,22.22530856598159,0.7435531786897577,0.743564029403557,,,
degree_hours_below_comfort,gradient_boosting,test,28.91682269579939,40.14609622189069,0.9519125168877207,0.9525905072325866,15.068189483961463,147.05006599476906,True
degree_hours_below_comfort,gradient_boosting,validation,26.790123661870076,39.2775016154078,0.9508480749324013,0.9508902261548965,14.169406982883292,,
degree_hours_below_comfort,linear_regression,test,57.280523912933695,74.44223404607209,0.834657613994981,0.8350272593048899,30.717874804986618,147.05006599476906,True
degree_hours_below_comfort,linear_regression,validation,55.34360230891104,68.58601908885274,0.8501267884596007,0.8510864999378691,32.2103354054877,,
degree_hours_below_comfort,random_forest,test,24.489621536009615,35.44817613673456,0.9625084673768629,0.9632367029885123,12.534455001681517,147.05006599476906,True
degree_hours_below_comfort,random_forest,validation,25.775435660094306,39.36612155814029,0.9506260264546398,0.9514100148849715,13.15535367061316,,
indoor_temperature_range_c,gradient_boosting,test,3.0925985322441045,4.609553496718836,0.7971478562033117,0.7972456217567824,24.110342212924742,7.332759995774377,True
indoor_temperature_range_c,gradient_boosting,validation,3.175012958557926,4.3693373504289,0.8320564909583942,0.8338845684000429,27.425743231880745,,
indoor_temperature_range_c,linear_regression,test,4.471484174665771,6.214826975883195,0.6312602414945994,0.640156179578806,48.831586382592384,7.332759995774377,True
indoor_temperature_range_c,linear_regression,validation,5.231256216278215,7.050629980274361,0.56269150357163,0.5643448755506646,51.50503898387466,,
indoor_temperature_range_c,random_forest,test,2.645942389130261,4.059116656557356,0.8427013670314888,0.8462200125159953,19.692047944856387,7.332759995774377,True
indoor_temperature_range_c,random_forest,validation,2.7944379131755652,3.7953406286588987,0.87328337779499,0.8746328254612716,25.05049823621145,,
mean_indoor_temperature_c,gradient_boosting,test,1.4527813156788523,1.9464700237441186,0.9495359683979077,0.9511418049729367,,6.766737514713857,True
mean_indoor_temperature_c,gradient_boosting,validation,1.4952322942882001,2.0548535707756272,0.9431699464445633,0.9431700134917593,,,
mean_indoor_temperature_c,linear_regression,test,2.868088786676914,3.786900918182411,0.8089907547956233,0.8090011999955449,,6.766737514713857,True
mean_indoor_temperature_c,linear_regression,validation,2.9654355316932817,3.6663910038186747,0.8190769653114048,0.8195666042325159,,,
mean_indoor_temperature_c,random_forest,test,1.2548759421574642,1.797343893623134,0.9569722273759053,0.9590838018183416,,6.766737514713857,True
